,,,,,,,,,,,,,,,,,,,,
Segment,CC,CC Name,START DATE,END DATE,2026-2030 QTY,2026 EU Qties,2027 EU Qties,2028 EU Qties,2029 EU Qties,2030 EU Qties,"EBOOST (E-KIT) NAME
ICO","PLATFORM
ICO",Motor,Driver,Battery,Display,PROJECT MANAGER,BOM created?,COMMENT,CC ZIMON
MTB,9900334407,MTB e-ST 500 WOMAN V3,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-ST 500 MY22,BROSE C alu,brose c alu,MDU,,NA,Simon Midrier,TRUE,,334407
MTB,9900334408,MTB E-EXPLORE 700,3/12/2023,2/29/2028,"15,400",7700,7700,0,0,0,E-EXPLORE 700 MY23,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,334408
MTB,9900334409,MTB E-EXPLORE 520S,1/22/2023,2/19/2028,"7,800",7800,0,0,0,0,E-EXPLORE 520S MY23,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,334409
MTB,9900334428,E-EXPLORE 700 NA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,334428
MTB,9900334490,MTB E-EXPLORE 520 S C2,1/22/2023,2/28/2027,1,1,0,0,0,0,E-EXPLORE 520S MY23,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,334490
MTB,9900334497,E-EXPLORE 520S NA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,334497
MTB,9900335049,MTB E-EXPLORE 700S,1/22/2023,3/6/2027,1,1,0,0,0,0,E-EXPLORE 700S MY23,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,335049
MTB,9900335242, EXTENDER E-EXPL,8/1/2022,3/6/2027,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Maker - No ICO,FALSE,,335242
MTB,9900337358,MTB e_EXPLORE 520,3/12/2023,1/3/2027,"1,500",1500,0,0,0,0,E-EXPLORE 520 MY23,PWC2,PWC2,MDU,,OIB eboost Yam,Simon Midrier,FALSE,,337358
MTB,9900337428,MTB e_EXPLORE 500 S,1/22/2023,12/31/2026,1,1,0,0,0,0,E-EXPLORE 500S MY23,BROSE C alu,brose c alu,MDU,,NA,Simon Midrier,TRUE,,337428
MTB,9900337499,MTB E-ST 100 MY23,2/22/2023,7/25/2026,1,1,0,0,0,0,E-ST100 MY23,HUB 100 2020,VRMGT,DV3,,?,Simon Midrier,TRUE,,337499
MTB,9900337543,MTB E-ST 100 MY23 W,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-ST100 MY23,HUB 100 2020,VRMGT,DV3,,?,Simon Midrier,TRUE,,337543
MTB,9900344357,MTB E-EXPLORE 520 S UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EXPLORE 520S MY23,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,344357
MTB,9900344405,MTB E-EXPLORE 500 S UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EXPLORE 500S MY23,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,344405
MTB,9900344406,MTB E-ST 100 MY23 UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,344406
MTB,9900344427, CHARGER 6A E-EXPL,3/1/2023,3/6/2027,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Maker - No ICO,FALSE,,344427
MTB,9900344475,MTB E-EXPLORE 700 UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EXPLORE 700 MY23,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,344475
MTB,9900344491,MTB E-EXPLORE 700 S UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EXPLORE 700S MY23,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,344491
MTB,9900345983,MTB e_FEEL Team Ed S NA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Maker - No ICO,FALSE,,345983
MTB,9900347615,MTB E-FEEL 500 (CAT 3A),2/21/2027,2/17/2029,"14,200",0,7000,7200,0,0,E-MTB Owuru2 CAT3A MY2027,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,347615
MTB,9900350245,MTB E-FEEL 900LT (CAT4B),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-MTB Owuru2 CAT4B IOT MY2029,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,350245
MTB,9900351586,MTB E-FEEL 900 (CAT 3C),9/1/2026,2/17/2029,"1,300",200,500,600,0,0,E-MTB Owuru2 CAT3C IOT MY2026,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,351586
MTB,9900351633,mtb E-ESCP 100+ (CAT 2A),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-MTB MDU Essential,HUB 100 2027,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,351633
MTB,9900356208,"MTB E-FEEL ""LIGHT"" / CAT 4A",#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,"MTB E-FEEL ""LIGHT"" / CAT 4A",#N/A,#N/A,#N/A,#N/A,#N/A,,TRUE,,356208
MTB,9900356271,MTB E-FEEL 900S V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,356271
MTB,9900359579,MTB E-EXPL 140 (CAT2MAKER),2/22/2026,2/19/2028,"26,500",13000,13500,0,0,0,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,359579
RD/GRVL,9900329657,E-EDR AF 105 11S,11/7/2021,1/23/2027,800,400,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,329657
RD/GRVL,9900335142,E-EDR AF 105 11S UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,335142
RD/GRVL,9900327928,E-EDR AF 105 11S WMN,1/1/2021,12/31/2026,320,160,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,327928
